13.675 13.675 14.767 90.0 90.0 120.0
3.0 0.0 0.0
0.0 3.0 0.0
0.0 0.0 3.0
2.7869669999999998 0.573833 0.464833 O
2.1203 0.2405 0.1315 O
2.453633 0.907167 0.798167 O
2.1203 0.8798 0.1315 O
2.666667 0.075633 0.333333 O
2.333333 0.408967 0.666667 O
2.2577 0.0 0.0 O
2.924367 0.333333 0.333333 O
2.591033 0.666667 0.666667 O
2.2577 0.2577 0.0 O
2.924367 0.591033 0.333333 O
2.591033 0.924367 0.666667 O
2.7423 0.0 0.0 O
2.408967 0.333333 0.333333 O
2.075633 0.666667 0.666667 O
2.7423 0.7423 0.0 O
2.408967 0.075633 0.333333 O
2.075633 0.408967 0.666667 O
3.0 0.2577 0.0 O
3.0 0.7423 0.0 O
2.2577 1.0 0.0 O
2.7423 1.0 0.0 O
2.0 0.2577 1.0 O
2.0 0.7423 1.0 O
2.2577 0.0 1.0 O
2.2577 0.2577 1.0 O
2.7423 0.0 1.0 O
2.7423 0.7423 1.0 O
3.0 0.2577 1.0 O
3.0 0.7423 1.0 O
2.2577 1.0 1.0 O
2.7423 1.0 1.0 O
2.333333 0.924367 0.666667 O
2.666667 0.591033 0.333333 O
2.0 0.2577 0.0 O
2.0 0.7423 0.0 O
2.666367 0.106633 0.438433 Si
2.333033 0.439967 0.771767 Si
2.0003 0.7736 0.8949 Si
2.9997 0.7733 0.1051 Si
2.333633 0.440267 0.561567 Si
2.0003 0.2267 0.8949 Si
2.333033 0.893067 0.771767 Si
2.333633 0.893367 0.561567 Si
2.2264 0.9997 0.8949 Si
2.8930670000000003 0.333033 0.228233 Si
2.559733 0.666367 0.561567 Si
2.2264 0.2267 0.8949 Si
2.666367 0.559733 0.438433 Si
2.559733 0.893367 0.561567 Si
2.7736 0.0003 0.1051 Si
2.440267 0.333633 0.438433 Si
2.106933 0.666967 0.771767 Si
2.7736 0.7733 0.1051 Si
2.440267 0.106633 0.438433 Si
2.106933 0.439967 0.771767 Si
2.7733 0.9997 0.8949 Si
